,location,parameter,value,country,city,latitude,longitude,date,spot
0,ES0584A,o3,5,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-00:00:00,Montcada i Reixac (pl. de Lluís Companys)
1,ES0584A,no2,60,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-00:00:00,Montcada i Reixac (pl. de Lluís Companys)
2,ES0584A,o3,8,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
3,ES0584A,no2,45,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-01:00:00,Montcada i Reixac (pl. de Lluís Companys)
4,ES0584A,no2,37,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
5,ES0584A,o3,9,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-02:00:00,Montcada i Reixac (pl. de Lluís Companys)
6,ES0584A,no2,43,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
7,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-03:00:00,Montcada i Reixac (pl. de Lluís Companys)
8,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
9,ES0584A,no2,50,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-04:00:00,Montcada i Reixac (pl. de Lluís Companys)
10,ES0584A,o3,5,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
11,ES0584A,no2,30,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-05:00:00,Montcada i Reixac (pl. de Lluís Companys)
12,ES0584A,no2,30,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
13,ES0584A,o3,6,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-06:00:00,Montcada i Reixac (pl. de Lluís Companys)
14,ES0584A,o3,4,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-07:00:00,Montcada i Reixac (pl. de Lluís Companys)
15,ES0584A,no2,24,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-07:00:00,Montcada i Reixac (pl. de Lluís Companys)
16,ES0584A,no2,22,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
17,ES0584A,o3,5,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-08:00:00,Montcada i Reixac (pl. de Lluís Companys)
18,ES0584A,no2,25,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
19,ES0584A,o3,7,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-09:00:00,Montcada i Reixac (pl. de Lluís Companys)
20,ES0584A,o3,18,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
21,ES0584A,no2,28,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-10:00:00,Montcada i Reixac (pl. de Lluís Companys)
22,ES0584A,o3,38,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-11:00:00,Montcada i Reixac (pl. de Lluís Companys)
