CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08015021_14_20200113,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,13,13/01/2020,30,V,34,V,35,V,36,V,43,V,36,V,25,V,16,V,9,V,15,V,26,V,23,V,22,V,32,V,17,V,25,V,12,V,7,V,2,V,2,V,2,V,2,V,2,V,12,V,"(41.443985, 2.2378986)"
08015021_14_20200114,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,14,14/01/2020,20,V,13,V,26,V,25,V,30,V,25,V,9,V,3,V,3,V,6,V,11,V,21,V,35,V,30,V,36,V,28,V,28,V,31,V,25,V,8,V,1,V,1,V,1,V,1,V,"(41.443985, 2.2378986)"
08015021_14_20200115,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,15,15/01/2020,1,V,1,V,2,V,1,V,7,V,15,V,17,V,14,V,9,V,13,V,,N,,N,,N,12,V,21,V,37,V,29,V,15,V,3,V,1,V,4,V,3,V,15,V,7,V,"(41.443985, 2.2378986)"
08015021_14_20200116,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,16,16/01/2020,3,V,2,V,1,V,3,V,2,V,2,V,3,V,2,V,2,V,6,V,11,V,14,V,12,V,21,V,26,V,26,V,19,V,9,V,4,V,1,V,7,V,19,V,9,V,4,V,"(41.443985, 2.2378986)"
08015021_14_20200117,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,17,17/01/2020,9,V,4,V,23,V,41,V,31,V,7,V,7,V,1,V,2,V,7,V,16,V,38,V,46,V,55,V,62,V,58,V,47,V,40,V,38,V,22,V,42,V,26,V,35,V,64,V,"(41.443985, 2.2378986)"
08015021_14_20200118,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,18,18/01/2020,32,V,27,V,23,V,33,V,31,V,26,V,18,V,21,V,22,V,17,V,30,V,33,V,41,V,50,V,52,V,60,V,46,V,41,V,33,V,3,V,2,V,2,V,4,V,2,V,"(41.443985, 2.2378986)"
08015021_14_20200119,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,19,19/01/2020,2,V,2,V,5,V,30,V,57,V,57,V,61,V,65,V,62,V,64,V,69,V,70,V,69,V,68,V,70,V,72,V,72,V,71,V,71,V,72,V,72,V,73,V,73,V,76,V,"(41.443985, 2.2378986)"
08015021_14_20200109,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,9,09/01/2020,1,V,1,V,1,V,1,V,2,V,3,V,2,V,2,V,1,V,3,V,3,V,5,V,8,V,27,V,46,V,44,V,38,V,26,V,25,V,37,V,24,V,3,V,11,V,18,V,"(41.443985, 2.2378986)"
08015021_14_20200120,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,20,20/01/2020,75,V,76,V,75,V,77,V,76,V,74,V,68,V,65,V,61,V,61,V,62,V,63,V,61,V,60,V,61,V,60,V,58,V,56,V,56,V,58,V,59,V,61,V,63,V,65,V,"(41.443985, 2.2378986)"
08015021_14_20200104,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,14,O3,µg/m3,08015021_14_6,2020,1,4,04/01/2020,1,V,1,V,3,V,6,V,11,V,12,V,4,V,1,V,1,V,5,V,9,V,13,V,16,V,26,V,30,V,26,V,21,V,17,V,16,V,20,V,19,V,28,V,30,V,25,V,"(41.443985, 2.2378986)"
